"Story","Title","Result","Date","Stability","Duration (s)"
"Categories data driven test","Delete the category and verify if the category is deleted!","ERROR","2022-06-20T13:23:00.171+01:00[Europe/London]","0.0","0.06"
"Categories data driven test","Verify if the category was added to the stock","ERROR","2022-06-20T13:23:00.231+01:00[Europe/London]","0.0","0.01"
"Categories data driven test","This will create a new category","SUCCESS","2022-06-20T13:23:00.247+01:00[Europe/London]","0.0","0.07"
"Categories data driven test","Update the category information and verify updated categories","SUCCESS","2022-06-20T13:23:00.316+01:00[Europe/London]","0.0","0.05"
"Service data driven test","Verify if the service was added to the stock","FAILURE","2022-06-20T13:23:00.501+01:00[Europe/London]","0.0","0.08"
"Service data driven test","This will create a new Service","SUCCESS","2022-06-20T13:23:00.594+01:00[Europe/London]","0.0","0.08"
"Service data driven test","Delete the service and verify if the service is deleted!","SUCCESS","2022-06-20T13:23:00.675+01:00[Europe/London]","0.0","0.09"
"Service data driven test","Update the service information and verify updated services","FAILURE","2022-06-20T13:23:00.770+01:00[Europe/London]","0.0","0.07"
"Store data driven test","Delete the store and verify if the store is deleted!","FAILURE","2022-06-20T13:23:00.870+01:00[Europe/London]","0.0","0.02"
"Store data driven test","Verify if the store was added to the stock","FAILURE","2022-06-20T13:23:00.888+01:00[Europe/London]","0.0","0.02"
"Store data driven test","Update the store information and verify updated information","FAILURE","2022-06-20T13:23:00.907+01:00[Europe/London]","0.0","0.03"
"Store data driven test","This will create a new store","SUCCESS","2022-06-20T13:23:00.938+01:00[Europe/London]","0.0","0.04"
"Utilities data driven test","This will give healthcheck information","SUCCESS","2022-06-20T13:23:01.039+01:00[Europe/London]","0.0","0.1"
"Utilities data driven test","This will give version information","SUCCESS","2022-06-20T13:23:01.140+01:00[Europe/London]","0.0","0.01"
